title,count,author,sources,original_publication_year,genres
the lord of the rings,4,j. r. r. tolkien,"lists\centerforfiction.csv, lists\guardian.csv, lists\modern-library-radcliffe.csv, lists\penguin-classics.csv",1955,"['Fantasy', 'Classics', 'Fiction', 'Adventure', 'Science Fiction Fantasy', 'Epic Fantasy', 'Literature', 'High Fantasy', 'Novels', 'Young Adult']"
the picture of dorian gray,4,oscar wilde,"lists\centerforfiction.csv, lists\guardian.csv, lists\library100.csv, lists\penguin-classics.csv",1891,"['Classics', 'Fiction', 'Horror', 'Fantasy', 'Literature', 'Gothic', 'Novels', '19th Century', 'LGBT', 'Classic Literature']"
the wind in the willows,4,kenneth grahame,"lists\guardian.csv, lists\library100.csv, lists\modern-library-radcliffe.csv, lists\penguin-classics.csv",1908,"['Classics', 'Fiction', 'Childrens', 'Fantasy', 'Animals', 'Young Adult', 'Adventure', 'Literature', 'Middle Grade', 'Audiobook']"
things fall apart,4,chinua achebe,"lists\centerforfiction.csv, lists\guardian.csv, lists\modern-library-radcliffe.csv, lists\penguin-classics.csv",1958,"['Fiction', 'Classics', 'Historical Fiction', 'Africa', 'School', 'Literature', 'Novels', 'Read For School', 'African Literature', 'Nigeria']"
a portrait of the artist as a young man,3,james joyce,"lists\library100.csv, lists\modern-library-radcliffe.csv, lists\penguin-classics.csv",1916,"['Classics', 'Fiction', 'Literature', 'Irish Literature', 'Ireland', 'Novels', '20th Century', 'School', 'Literary Fiction', 'Classic Literature']"
alice's adventures in wonderland,3,lewis carroll,"lists\guardian.csv, lists\library100.csv, lists\pan-macmillan-classics.csv",1865,"['Classics', 'Fantasy', 'Fiction', 'Childrens', 'Adventure', 'Young Adult', 'Audiobook', 'Middle Grade', 'Literature', '19th Century']"
as i lay dying,3,william faulkner,"lists\centerforfiction.csv, lists\guardian.csv, lists\modern-library-radcliffe.csv",1930,"['Classics', 'Fiction', 'Literature', 'Novels', 'American', 'School', 'Southern Gothic', 'Literary Fiction', 'Southern', '20th Century']"
beloved,3,toni morrison,"lists\centerforfiction.csv, lists\modern-library-radcliffe.csv, lists\penguin-classics.csv",1987,"['Fiction', 'Classics', 'Historical Fiction', 'Magical Realism', 'Literature', 'African American', 'Historical', 'Novels', 'School', 'Literary Fiction']"
bleak house,3,charles dickens,"lists\centerforfiction.csv, lists\library100.csv, lists\penguin-classics.csv",1853,"['Classics', 'Fiction', 'Literature', '19th Century', 'Victorian', 'Historical Fiction', 'British Literature', 'Novels', 'Classic Literature', 'Mystery']"
charlotte's web,3,eb white,"lists\guardian.csv, lists\library100.csv, lists\modern-library-radcliffe.csv",1952,"['Classics', 'Childrens', 'Fiction', 'Young Adult', 'Fantasy', 'Animals', 'Middle Grade', 'Juvenile', 'School', 'Chapter Books']"
dracula,3,bram stoker,"lists\centerforfiction.csv, lists\library100.csv, lists\penguin-classics.csv",1897,"['Classics', 'Horror', 'Fiction', 'Fantasy', 'Vampires', 'Gothic', 'Paranormal', 'Literature', 'Audiobook', 'Supernatural']"
in cold blood,3,truman capote,"lists\centerforfiction.csv, lists\modern-library-radcliffe.csv, lists\penguin-classics.csv",1965,"['Nonfiction', 'Classics', 'True Crime', 'Crime', 'Mystery', 'History', 'Literature', 'Thriller', 'American', 'Biography']"
lady chatterley's lover,3,d.h. lawrence,"lists\library100.csv, lists\modern-library-radcliffe.csv, lists\penguin-classics.csv",1928,"['Classics', 'Fiction', 'Romance', 'Literature', 'Novels', 'Erotica', 'Banned Books', 'British Literature', 'Historical Fiction', '20th Century']"
les miserables,3,victor hugo,"lists\centerforfiction.csv, lists\penguin-classics.csv, lists\library100.csv",1862,[]
lord of the flies,3,william golding,"lists\guardian.csv, lists\library100.csv, lists\modern-library-radcliffe.csv",1954,"['Classics', 'Fiction', 'Young Adult', 'School', 'Literature', 'Dystopia', 'Read For School', 'Novels', 'High School', 'Adventure']"
middlemarch,3,george eliot,"lists\centerforfiction.csv, lists\pan-macmillan-classics.csv, lists\penguin-classics.csv",1871,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', '19th Century', 'Victorian', 'British Literature', 'Novels', 'Romance', 'Classic Literature']"
on the road,3,jack kerouac,"lists\centerforfiction.csv, lists\guardian.csv, lists\modern-library-radcliffe.csv",1955,"['Classics', 'Fiction', 'Travel', 'Literature', 'Novels', 'American', 'Adventure', '20th Century', 'Unfinished', 'Modern Classics']"
